$100-a-plate dinner	tuluõhtu, heategevuslik bankett
acrimonious	terav, kibestunud, küüniline
acrimoniously	teravalt, kibestunult, küüniliselt
acrimony	teravus, sapisus, kibedus (keele, kommete, suhete)
acritical	kriisideta kulgev (haigus)
acritochromacy	värvipimedus
acro-	akro- (ülim, kõrgeim, lõplik), tipp-
acroamatic	esoteeriline, sügavalt tark
acroanesthesia	akroanesteesia, tundekadu piirsituatsioonis
acrobacy	akrobaatika
acrobat	akrobaat
acrobatic	akrobaatiline, üliliikuv
acrobatic flight	vigurlend
acrobatics	akrobaatika
acrobatic stunt	akrobaaditrikk
acrology	< acrophony
acronym	akronüüm, esitähtlühend (er terviksõnana hääldatav)
acrophobia	akrofoobia, kõrgusekartus
acrophony	akrofoonia (sõna kasutamine esitähe märkimiseks)
acropolis	akropol
Acropolis	Akropol
across	üle kogu, risti, läbi, teisel pool, vahel
across the board	kõikihõlmav, üldine, võrdne
across-the-board	kõikihõlmav, üldine, võrdne
across the sea	meretagune
acrostic	sõnaruut, esitähtluuletus
acrylate	akrülaat
acrylic	akrüül-
acrylic acid	akrüülhape
acrylic paint	akrüülvärv
acrylic painting	akrüülmaal
acrylic resin	akrüülvaik
act	tegutsema, näitlema ; tegu, seadus, akt, vaatus
actable	esitatav, näideldav
Actaea	siumari
act a part	osas esinema
act a role	rollis esinema
act as	osa täitma, käituma nagu, (kellenagi) tegutsema
act between	vahendama
act for	nimel tegutsema
acting	mäng (teatris), kohuseid täitev
acting-out	impulsiivne purse, hoog
Actinia	meriroos
Actinidia	kiivi (taim)
actinium	aktiinium (Ac)
actino-	aktino-, kiirgus-
actinoid	kiirsümmeetriline
actinoids	aktinoidid (elemendid nr 90-103)
actinolite	aktinoliit
actinometer	aktinomeeter
actinometry	aktinomeetria, kiirgustugevuse mõõtmine
actinomycete	aktinomütseet, kiirikseen
actinomycin	aktinomütsiin, antibiootiline aine
actinomycosis	aktinomükoos, kiirikseentõbi
actinotherapy	aktinoteraapia, kiirgusravi
act in the interests of	huvides tegutsema
act in the place of	asemel tegutsema, kohuseid täitma
action	tegevus, tegu, mõju, sõjategevus, kohtuasi, hagi
actionable	kohtuprotsessi võimaldav
action and reaction	tegevus ja vastasmõju
action movie	märulifilm
action plan	tegevuskava
action replay	kordus (telesaate sees)
action substantive	tegevusnimi
activate	aktiveerima, käiku laskma
activated	aktiveeritud
activated carbon	aktiivsüsi
activated charcoal	aktiivsüsi
activating	aktiveeriv, elavdav
activation	aktiveerimine, käivitamine
activator	aktivaator
active	aktiivne, tegev, tegutsev, toimekas ; aktiiv
active agent	toimeaine
active capital	ärikapital
active carbon	aktiivsüsi
active duty	tegevteenistus
actively	aktiivselt, elavalt
active market	aktiivne turg
activeness	aktiivsus
active rudder	aktiivrool
active sentence	aktiivne lause
active service	tegevteenistus
active substance	(ravimi) toimeaine
active surface	kiirguspind
active use	aktiivkasutus
active vocabulary	aktiivne sõnavara
active voice	aktiivne kõneviis (lingvistikas)
activism	aktiivsus (poliitiline vms), aktivism
activist	aktivist
activities	tegevused, tegevusalad
activity	tegevus, aktiivsus
activity licence	tegevusluba
act like	käituma nagu
act of god	vääramatu jõud, ettenägematu õnnetusjuhtum
act of God	vääramatu jõud, ettenägematu õnnetusjuhtum
act of politeness	viisakusväljendus
act on	alusel tegutsema, edendama
act on behalf of	nimel tegutsema
act on your own responsibility	oma vastutusel tegutsema
actor	näitleja, tegevuses osaleja
actor's lines	repliigid, rolli sõnaline osa
act out	osa esitama
actress	näitlejanna
Acts	Apostlite tegude raamat
Acts of the Apostles	Apostlite tegude raamat
act the fool	lolli mängima
actual	tegelik, tõeline, aktuaalne, päevakajaline
actual cost	tegelik hind
actual cost calculation	järelearvestus
actual fact	tõsiasi
actualise	aktualiseerima, tegelikuks muutma
actualism	aktualism (aktuaalne idealism)
actuality	tegelikkus, tõsielumaterjal
actualization	aktualiseerimine, reaalseks muutmine
actualize	aktualiseerima, tegelikuks muutma
actual load	kasulik koormus
actually	tegelikult
actual meaning	aktuaalne tähendus
actual news	uudised toimumiskohast, tegelik uudis
actual presence	isiklik kohalviibimine
actual sin	tegelik patt (vast pärispatule)
actuary	(kindlustus)statistik, aktuaar, registraator
actuate	käivitama, käima panema, ajendama
actuated	ajendatud
actuating device	käivitusseade
actuation	liikvelepanemine, kasutamine
actuator	käivitaja, algataja
act up	halvasti käituma, tuntav olema
act upon	mõjuma
acuating	teravatipuline
acuity	nägemisteravus, terasus, üksikasjade nägemine
aculeate	nõelataoline, nõelaga varustatud, okkaline
acumen	läbinägelikkus, kiire taip
acuminate	terav ; teravnema, ühte punkti koonduma
acumination	ühte punkti koondumine, nõelteravus
acuminous	läbinägelik, taiplik
acupuncture	akupunktuur, nõelravi
a cut above	midagi enamat ; veidi enamat kui, rohkem kui
acute	akuutne, terav ; akuut (diakriitiline märk)
acute accent	akuut, akuudimärk (´)
acute angle	teravnurk
acute-angled	teravnurkne
acute-angled triangle	teravnurkne kolmnurk
acute inflammation	akuutne põletik
acutely	teravalt
acuteness	teravus
acute pain	terav valu
acute sense of hearing	terane kuulmine
acute sight	terav nägemine
acute triangle	teravnurkne kolmnurk
acyclic	atsükliline
acylation	atsetüleerimine
ad	kuulutus, reklaam
AD	Issanda aastal
adactylia	adaktüülia, sõrmede ja varvaste puudumine
adactylism	adaktüülia, sõrmede ja varvaste puudumine
adage	mõttetera, vanarahva ütlemine
adagio	adagio (aeglaselt), adaadžo
Adam	Aadam
adamance	järeleandmatus
adam-and-eve	-, orhidee
Adam-and-Eve	Aadam ja Eeva
adamant	järeleandmatu
adamantean	< adamantine
adamantine	teemantkõva, järeleandmatu
adamantly	järeleandmatult
Adamawa	Adamaoua
adamellite	adamelliit
adamite	nudist, inimolend, adamiit (mineraal)
adam's apple	aadamaõun, kõrisõlm
Adam's apple	aadamaõun, kõrisõlm
Adam's-needle	tääkliilia
adapt	kohandama, mugandama, adapteerima, kohanema, sobima
adaptability	kohanemisvõime, kohandatavus
adaptable	kohanemisvõimeline, kohandatav
adaptation	kohanemine, kohandus, kohastumus, adaptsioon
adapted	kohandatud, mugandatud, sobitatud
adapted name	mugandnimi
adapted to	kohanenud, kohandatud
adapted to purpose	eesmärgipärane
adapter	adapter, kohandaja
adaption	muganemine, kohanemine
adaptive radiation	erisuunaline kohastumine
adaptor	adapter
adaxial	adaksiaalne
a day early	päev varem
add	lisama, liitma, lisandama
addax	addaks (Addax)
added	liidetud, koondatud
added ingredient	lisaaine
addend	liidetav
addenda	lisad
addendum	lisa (er raamatu, lepingu vm)
adder	rästik (Vipera berus), liitja
add fuel to the fire	õli tulle valama
add fuel to the flame	tuld õhutama
add gas	gaasi lisama
addict	sõltlane, narkomaan
addicted	sõltuv
addictedness	sõltuvus
addicted to	sõltuv
addicted to drink	joomisharjumusega
addiction	sõltuvus
addictive	sõltuvusttekitav
addictive drug	sõltuvusttekitav aine
adding	liitmine
adding machine	summaator, mehhaaniline kalkulaator
Addis Ababa	Addis Abeba
addition	liitmine, lisamine, lisa, arenduspiirkond
additional	täiendav, lisand-, lisa-, uus, järel-
additional charge	hinnalisa
additionally	lisaks, täiendavalt
additional sail	lisapuri
addition table	liitmistabel
addition to the price	hinnalisa
additive	lisand, manus ; täiend-, lisandus-
additives	lisaained, lisandid
addle	segadusse ajama, roiskuma (muna)
addlebrain	pudrupea
addled	segane, sogane, roiskunud
addle egg	mädamuna
addlehead	pudrupea
addle-headed	peast pehme
addlepate	taipamatu
addle-pated	peast pehme
addlepated	pudrupäine
add on	juurde lisama, lõppu lisama
address	aadress, pöördumine ; pöörduma, suunama
address a warning to	hoiatusega pöörduma
addressed	adresseeritud
addressee	adressaat, vastuvõtja, saaja
address formally	ametlikult pöörduma, teietama
addressing	adresseerimine, pöördumine, kõnetlus
addressing machine	ümbrikuprinter, aadressimasin
Addressograph	ümbrikuprinter
address registration	sissekirjutus
address to	adresseerima, suunama
address unit	aadressikoht
adds	kuulutused, reklaamid
add to	lisama
add together	kokku liitma
adduce	tõendina esitama, näiteks tooma
adduce evidence	tõendeid esitama
add up	mõtet omama, kokku liitma
add up to	kogusummas tegema
addy	aadress (< address)
-ade	-aad (rühm, tegevus)
a decent sort of fellow	täitsamees
Adelie penguin	adeelia (Pygoscelis Adeliae)
Aden	Aden
adenitis	adeniit, näärmepõletik
adeno-	adeno-, nääre-, näärme
adenocarcinoma	adenokartsinoom, näärevähk
adenoid	adenoid, mandlivohand
adenoidal	mandli, ninahäälne
adenoidectomy	mandlilõikus
adenoids	adenoidid
adenoma	adenoom, näärekasvaja
Adephaga	röövmardikalised
adept	meister ; võimekas, vilunud, meisterlik
adept in	vilunud
adeptness	vilumus, võimekus
adequacy	adekvaatsus, piisavus, vastavus
adequate	adekvaatne, piisav, vastav
adequately	adekvaatselt
adequateness	adekvaatsus
adequate supply	piisavad varud
adequate to	sobiv, kvalifikatsiooni omav
adessive	alalütlev (kääne)
adessive case	alalütlev kääne, adessiiv
à deux	(< pr) kahele ; privaatne
adhere	kinnituma, kinni pidama, järgima, kokku kleepuma
adherence	kinnipidamine, truuksjäämine, kleepuvus
adherence to the old and tried	teada-tuntud lahendustele truuks jääma
adherent	pooldaja, jünger
adhere to	kinni pidama, juurde jääma
adhere to your principles	põhimõtetest kinni pidama
adhesion	külgejäämine, kokkukasvamine, kleepumine
adhesive	kleepuv ; liimaine, liim, sideaine
adhesive binding	liimköide, liimköitmine
adhesiveness	kleepuvus, sidumisjõud
adhesive plaster	kleepplaaster
adhesives	liimid
adhesive tape	kleeplint
ad hoc	ad hoc, konkreetseks otstarbeks, erakorraline, siht-
ad hoc committee	üksikprobleemiga tegelev komitee, ajutine komisjon
ad hominem	isiklik (mitte väite vaid inimese vastu suunatud)
ad hominem attack	ad hominem vastuväide
adiabatic	adiabaatiline, temperatuurimuutusteta toimuv
adiabolist	adiabolist, saatana olemasolu eitaja
adiaphora	adiaphora (pidmine headus)
adiaphorism	(usuline) sallivus, usuleigus
adiaphorous	neutraalne, mõjutu
adieu	hüvasti
a dime a dozen	jalaga segada, tavaline
ad infinitum	lõpmatuseni
ad interim	ajutiselt, vahepealseks ajaks
adios	hüvasti
adipic acid	adipiinhape
adipose	loomsest rasvast, rasv-
adipose tissue	rasvkude
adit	stoll, horisontaalsissekäik kaevandusse, juurdepääs
adjacency	külgnevus
adjacent	külgnev, lähedalasuv
adjacent zone	erivöönd
Adjaria	Adžaaria
adjectival	omadussõnaline
adjectival attribute	omadussõnaline täiend
adjective	omadussõna, adjektiiv
adjective phrase	omadussõnafraas
adjoin	külgnema, ühenduses olema
adjoining	naaber-, kõrvalolev
adjourn	vaheajale minema, edasi lükkama
adjourning	edasilükkamine
adjournment	edasilükkamine
adjudge	hindama, otsust langetama
adjudicate	kohtunikuks olema, (midagi) lahendama
adjudication	otsuse langetamine, (kohtu)lahend, õigusemõistmine
adjudicative	õigusemõistmise, siduv, lõplik
adjudicator	õigusemõistja, kohtumõistja, kohtunik
adjunct	abiline, lisand
adjuration	loitsumine
adjuratory	pühalik
adjure	vannutama, südamele panema, anuma
adjust	kohandama, häälestama, kohanema
adjustable	kohandatav, reguleeritav
adjusted	kohandatud
adjusted to	kohanenud
adjuster	regulaator, kindlustusinspektor, kontrollija
adjustment	kohandamine, sobitamine, täpsustus
adjustor	kindlustusinspektor
adjust to	kohanema
adjutant	(staabi)adjutant
adjuvant	tugevdusaine, tugevdi ; abistav, profülaktiline
adjuvant treatment	kõrvalravi
ad lib	ad lib, ettevalmistuseta
ad-lib	ettevalmistuseta ; improviseerima
ad libitum	ettevalmistuseta
admass	massimeediast mõjutatud elanikkonna osa
admeasure	osalust määrama
administer	haldama, sakramenti andma, manustama
administer an oath	vannutama, (kelleltki) vannet võtma
administer a sacrament	sakramenti andma
administer justice	õigust mõistma
administration	administratsioon, jagamine
administration of justice	õigusemõistmine
administrative	administratiivne, haldus-
administrative board	haldusnõukogu
administrative charge	halduskulu
administrative conference	haldusnõupidamine
administrative costs	halduskulud
administrative fee	arbitraažimaks
administrative law	haldusõigus
administrative order	halduskorraldus
administrative tribunal	halduskohus
administrator	administraator, haldur
admirable	imetlusväärne
admirably	imeteldavalt
admiral	admiral
admiral of the fleet	laevastikuadmiral
admiralty	admiraliteet, merekohus, (Br) Mereministeerium
Admiralty Islands	Admiraliteedisaared
admiralty law	mereõigus
admiralty mile	meremiil (1,85 km)
Admiralty mile	meremiil (1,85 km)
admiration	imetlus
admire	imetlema
admired	imetletud
admiredly	imeteldavalt
admirer	imetleja, austaja
admiring	imetlev
admiringly	imetlevalt
admissable	vastuvõetav
admissibility	lubatavus, kõlblikkus
admissible	vastuvõetav, lubatav, mööndav
admission	sisselaskmine, vastuvõtt, omaksvõtmine, mööndus
Admission day	osariigipäev (Ühendusse astumise aastapäev)
Admission Day	osariigipäev (Ühendusse astumise aastapäev)
admission fee	sissepääsumaks
admit	möönma, üles tunnistama, sisse laskma, vastu võtma
admit an objection	vastuväitega nõustuma
admit everything	kõike lubama, kõik omaks võtma
admit exceptions	erandeid lubama
admit of	võimaldama, ruumi jätma
admit of no doubt	kahtlustele mitte ruumi jätma, pole kahtlustki
admit of no option	valikuvõimalust mitte jätma
admittance	sissepääs, sisselubamine
admitted fact	omaksvõetud fakt
admittedly	mööndavasti
admitting no denial	keeldumist välistama
admitting no dispute	kaheldamatu, vaidlusi mitte lubav
admitting no doubt	kahtlusele mitte ruumi jätma
admitting no exception	mitte mingeid kõrvalekaldeid lubama
admitting that	mööndes, oletades et
admonish	noomima, hoiatama
admonition	(leebe) hoiatus, manitsus
ad nauseam	tülgastuseni
adnex	manus
ado	sahmerdamine, tüli, tegevus
adobe	päikesekuivatatud tellis, savisete, savimaja
adobe house	savitellistest maja
a dog's life	koeraelu
adolescency	noorukiiga
adolescent	noorukieas, nooruslik ; nooruk, alaealine
adolescent beard	piimahabe
adonis	adoonis, kaunis nooruk
Adonis	Adonis, Afrodite armastatu
adopt	adopteerima, lapsendama, omaks võtma
adopted	adopteeritud, omaksvõetud
adoption	lapsendamine, omaksvõtt, adaptatsioon
adoptive	adoptiiv-, adopteeritud
adorable	jumaldatav, hurmav
adorably	võluvalt, imeteldavalt
adoration	imetlus, jumaldamine
adore	jumaldama
adorer	jumaldaja
adoring	jumaldav
adoringly	jumaldavalt
adorn	ehtima, kaunistama
adorned	ehitud
adornments	ehe, ehtimine
adown	(van) alla, maha
adposition	kaassõna, adpositsioon
adpositional	kaassõna-
adpositional phrase	kaassõnafraas
adposition of attitude and rela	suhtumis- ja suhtekaassõna
adposition of cause	põhjuskaassõna
adposition of manner	viisikaassõna
adposition of place	kohakaassõna
adposition of quantity	hulga-, mõõdu- ja määrakaassõna
adposition of state	seisundikaassõna
adposition of time	ajakaassõna
adpress	litsuma, vastulitsutud
adrenal	neerupealis
adrenaline	adrenaliin
Adrianople	Edirne, Adrianoopol
Adriatic	Aadria
Adriatic Sea	Aadria meri
adrift	triiviv, viltuläinud
adroit	osav, väle, nutikas
adroitly	osavalt, nutikalt
adroitness	osavus, nutikus, vilumus
a drop in the ocean	tilk meres
adscititious	välispidine, lisa-
adsorb	adsorbeerima (keha pinnale neelduma)
adsorbate	adsorbaat (adsorbeerunud aine)
adsorbent	adsorbent
adsorber	adsorbeeraparaat
adsorption	adsorptsioon (aine kogunemine keha pinnale)
adularia	adulaar
adulate	lipitsema, meelitama
adulation	ülistamine, (harras) lipitsemine
adulator	lipitseja
adult	täisealine ; täiskasvanu
adulterant	lahjendi
adulterate	lahjendama, väheväärtuslikku lisama, solkima
adulterated	lahjendatud, mittepuhas
adulteration	lahjendamine, võltsimine
adulterer	abielurikkuja
adulteress	abielurikkuja
adulterine	abieluväline, sohi-
adulterous	abielu rikkuv
adulterous affair	abieluväline suhe
adultery	abielurikkumine
adultescent	lapselik täiskasvanu
adulthood	täiskasvanu olemine
adults	täiskasvanud
adumbrate	visandama, üldjoontes ette kujutama, aimata laskma
adumbrated by	varju jäetud, varjutatud (millegi poolt)
adumbrative	vihjav, üldjoontes aimatav
adumbratively	vihjavalt, aimata laskvalt
adust	päikese käes kuivanud
Advaita	advaita (brahmani ja aatmani samastamine)
ad val	vastavalt väärtusele
ad valorem	vastavalt väärtusele
ad valorem tax	lisaväärtusmaks
advance	edenemine, ettemaks, eel- ; edenema, ette maksma
advance against	töö eest ettemaksu saama
advanced	arenenud, edasijõudnud, hiline
advanced age	küps iga
advanced in life	elus edasi jõudnud
advanced in years	eakas
advanced years	soliidne vanus
advancement	edasijõudmine, saavutus, ametiredelil edenemine
advance note	eelteade
advance notice	eelteade, etteteatamine
advance payment	ettemakse, avanss
advance reservation	eeltellimus, ettetellimus
advancing	edasiliikuv, arenev
advantage	eelis, soodne juhus
advantage ground	edumaa
advantageous	soodne, kasulik
advantageously	soodsalt
advantageousness	soodsus
advection	advektsioon (horisontaalne õhuvool)
advent	saabumine
Advent	advent, Kristuse tulek
adventism	adventism
Adventism	adventism
adventist	adventist
Adventist	adventist
adventitious	lisatud, väline, mitteomases keskkonnas
adventive	tulnuk-, lisa-, ajutiselt kodunenud
adventure	seiklus, avantüür
adventure-loving	seiklushimuline
adventurer	seikleja
